source_file,metric,i,j,value,err,value_upup,err_upup,value_updn,err_updn
example.out,bond0_xy-bond0_xy correlation function,5,4,0.782487069201126,0.03617038166635016,,,,
example.out,bond0_xy-bond0_xy correlation function,5,5,0.591527875070555,0.03288718351182903,,,,
example.out,bond0_xy-bond0_xy correlation function,5,6,0.704009316524833,0.04101551941972877,,,,
example.out,bond0_xy-bond0_xy correlation function,5,7,0.591994209146253,0.03667771107172185,,,,
example.out,bond0_xy-bond0_xy correlation function,6,0,0.620991254092174,0.03646274843181934,,,,
example.out,bond0_xy-bond0_xy correlation function,6,1,0.754867098744948,0.04097561677689861,,,,
example.out,bond0_xy-bond0_xy correlation function,6,2,0.532780731513225,0.04850695655136732,,,,
example.out,bond0_xy-bond0_xy correlation function,6,3,0.798892779013911,0.05045153854329317,,,,
example.out,bond0_xy-bond0_xy correlation function,6,4,0.600793501684816,0.03610752095117067,,,,
example.out,bond0_xy-bond0_xy correlation function,6,5,0.735430783961767,0.03589614855773977,,,,
example.out,bond0_xy-bond0_xy correlation function,6,6,0.601404624912526,0.03892812018116843,,,,
example.out,bond0_xy-bond0_xy correlation function,6,7,0.673086082996209,0.03685874675821366,,,,
example.out,bond0_xy-bond0_xy correlation function,7,0,0.6136388397944,0.03509687624130736,,,,
example.out,bond0_xy-bond0_xy correlation function,7,1,0.626059026166588,0.03181641676387277,,,,
example.out,bond0_xy-bond0_xy correlation function,7,2,0.783964009510686,0.03890303770558198,,,,
example.out,bond0_xy-bond0_xy correlation function,7,3,0.537844242377397,0.03363686542843552,,,,
example.out,bond0_xy-bond0_xy correlation function,7,4,0.819212423078702,0.01928195228082642,,,,
example.out,bond0_xy-bond0_xy correlation function,7,5,0.569047620297501,0.01999907197950682,,,,
example.out,bond0_xy-bond0_xy correlation function,7,6,0.730889905248507,0.02582015968041034,,,,
example.out,bond0_xy-bond0_xy correlation function,7,7,0.577954237948753,0.03247862700822625,,,,
example.out,bonds x,0,0,-0.944442671579796,0.0008470302162700478,,,,
example.out,bonds x,0,1,0.224062766493055,0.003985104761345342,,,,
example.out,bonds x,0,2,-0.859677014946168,0.002398865756398688,,,,
example.out,bonds x,0,3,0.230958251271704,0.005018185433230017,,,,
example.out,bonds x,0,4,-0.857389228422086,0.001956533187292299,,,,
example.out,bonds x,0,5,0.208316394348007,0.00429827096555005,,,,
example.out,bonds x,0,6,-0.848369003256935,0.002609397278767168,,,,
example.out,bonds x,0,7,0.223199404319793,0.002971573548196045,,,,
example.out,bonds x,1,0,0.142531751263842,0.002775639426302158,,,,
example.out,bonds x,1,1,-0.878791342353472,0.002174381972436571,,,,
example.out,bonds x,1,2,0.228023666032411,0.006172936990505309,,,,
example.out,bonds x,1,3,-0.859013941312692,0.001245758062793227,,,,
example.out,bonds x,1,4,0.226818410061207,0.00445490736887169,,,,
example.out,bonds x,1,5,-0.86275255408974,0.002247278805061373,,,,
example.out,bonds x,1,6,0.211015857305729,0.004963300773227461,,,,
example.out,bonds x,1,7,-0.863163219089912,0.002882613640180604,,,,
example.out,bonds x,2,0,-0.88648449149534,0.002640765154793643,,,,
example.out,bonds x,2,1,0.219990920949002,0.004232944174247704,,,,
example.out,bonds x,2,2,-0.863788220572586,0.002556421656967351,,,,
example.out,bonds x,2,3,0.230298242554317,0.004094808770955686,,,,
example.out,bonds x,2,4,-0.859826699699542,0.001659343525722034,,,,
example.out,bonds x,2,5,0.233142517668358,0.004687132805251838,,,,
example.out,bonds x,2,6,-0.86052221262507,0.002797946267580297,,,,
example.out,bonds x,2,7,0.223514256887933,0.00265140301165858,,,,
example.out,bonds x,3,0,0.228281264737309,0.004018114212610111,,,,
example.out,bonds x,3,1,-0.869297619810739,0.002576312162417192,,,,
example.out,bonds x,3,2,0.213620308100288,0.004748889940902821,,,,
example.out,bonds x,3,3,-0.847803201877017,0.002032897037971949,,,,
example.out,bonds x,3,4,0.231917256431477,0.003550194273562703,,,,
example.out,bonds x,3,5,-0.855247107723369,0.002040491225906957,,,,
example.out,bonds x,3,6,0.226141825973062,0.003654794670846302,,,,
example.out,bonds x,3,7,-0.866229022725552,0.001780275165269712,,,,
example.out,bonds x,4,0,-0.869601239620803,0.002020140265417291,,,,
example.out,bonds x,4,1,0.220032680361284,0.004098372701500728,,,,
example.out,bonds x,4,2,-0.859803768913452,0.002668739437475672,,,,
example.out,bonds x,4,3,0.230765414873773,0.006128962876642653,,,,
example.out,bonds x,4,4,-0.854809659604989,0.002419792348520609,,,,
example.out,bonds x,4,5,0.230585682102994,0.00664473302002127,,,,
